transect,old_tag,new_tag,species,status93,status13,status22,diam93,rad1993,cross1993,basal_area_1993,diam13,rad2013,cross2013,basal_area_2013,diam22,rad2022,cross2022,basal_area_2022
D,15,,Pterophylla sylvicola,A,A,A,12.7,6.35,1.266768698,14.07520775,13.5,6.75,1.431388153,15.90431281,11.3,5.65,1.002874915,11.14305461
D,16,A8446,Pterophylla sylvicola,,A,A,,0,0,0,12.8,6.4,1.286796351,14.29773723,13.9,6.95,1.517467792,16.86075324
D,16,A8540,Pterophylla sylvicola,,A,A,,0,0,0,20,10,3.141592654,34.90658504,20.8,10.4,3.397946614,37.75496238
D,16,A8696,Pterophylla sylvicola,A,A,A,11.7,5.85,1.075131546,11.94590607,8.9,4.45,0.622113885,6.912376503,9.1,4.55,0.650388219,7.226535768
C,16,A8769,Pterophylla sylvicola,,A,A,,0,0,0,11.7,5.85,1.075131546,11.94590607,12.2,6.1,1.168986626,12.98874029
C,16,,Pterophylla sylvicola,,A,A,,0,0,0,7.8,3.9,0.477836243,5.309291585,7.8,3.9,0.477836243,5.309291585
C,17,A8408,Pterophylla sylvicola,A,A,A,8.15,4.075,0.521681095,5.796456612,8.4,4.2,0.554176944,6.157521601,9.7,4.85,0.738981132,8.210901466
C,17,A8539,Pterophylla sylvicola,A,A,A,12.1,6.05,1.149901451,12.77668279,13.4,6.7,1.410260942,15.66956602,14,7,1.5393804,17.10422667
C,17,A8658,Pterophylla sylvicola,A,A,A,6.8,3.4,0.363168111,4.035201231,7,3.5,0.3848451,4.276056667,7.2,3.6,0.407150408,4.523893421
C,17,A8718,Pterophylla sylvicola,A,A,A,6.2,3.1,0.301907054,3.354522822,5.8,2.9,0.264207942,2.935643802,5.3,2.65,0.220618344,2.451314934
C,17,A8750,Pterophylla sylvicola,A,A,A,8,4,0.502654825,5.585053606,8.5,4.25,0.567450173,6.305001923,8.4,4.2,0.554176944,6.157521601
C,17,,Pterophylla sylvicola,A,A,A,8.5,4.25,0.567450173,6.305001923,9,4.5,0.636172512,7.068583471,8.9,4.45,0.622113885,6.912376503
C,18,A8433,Pterophylla sylvicola,A,A,A,7.3,3.65,0.418538681,4.650429792,7.9,3.95,0.490166994,5.446299931,7.7,3.85,0.465662571,5.174028568
C,18,A8543,Pterophylla sylvicola,A,A,D,5.7,2.85,0.255175863,2.83528737,6.2,3.1,0.301907054,3.354522822,,0,0,0
C,18,A8666,Pterophylla sylvicola,,,A,,0,0,0,,0,0,0,6,3,0.282743339,3.141592654
C,18,A8692,Pterophylla sylvicola,,A,A,,0,0,0,17.1,8.55,2.29658277,25.51758633,17.6,8.8,2.432849351,27.03165945
C,18,A8764,Pterophylla sylvicola,A,A,A,9.85,4.925,0.762012933,8.466810368,10.4,5.2,0.849486654,9.438740595,10.6,5.3,0.882473376,9.805259738
C,19,A8060,Pterophylla sylvicola,A,A,A,13.45,6.725,1.420804913,15.78672125,14.2,7.1,1.583676857,17.59640952,14.5,7.25,1.651299639,18.34777376
D,19,A8219,Pterophylla sylvicola,A,A,A,19.2,9.6,2.89529179,32.16990877,6.25,3.125,0.306796158,3.408846195,5.6,2.8,0.246300864,2.736676267
D,19,A8557,Pterophylla sylvicola,A,A,A,14.6,7.3,1.674154725,18.60171917,16.1,8.05,2.035830579,22.62033977,16.9,8.45,2.243175694,24.92417438
D,19,A8662,Pterophylla sylvicola,A,A,A,7.8,3.9,0.477836243,5.309291585,14.2,7.1,1.583676857,17.59640952,14.7,7.35,1.697166891,18.8574099
D,19,A8752,Pterophylla sylvicola,A,A,A,8.8,4.4,0.608212338,6.757914864,9.7,4.85,0.738981132,8.210901466,9.5,4.75,0.708821842,7.87579825
D,20,A8420,Pterophylla sylvicola,A,A,A,7,3.5,0.3848451,4.276056667,7.2,3.6,0.407150408,4.523893421,7,3.5,0.3848451,4.276056667
D,20,A8537,Pterophylla sylvicola,A,A,A,16,8,2.010619298,22.34021443,18.3,9.15,2.630219909,29.22466566,19.2,9.6,2.89529179,32.16990877
D,20,,Pterophylla sylvicola,A,A,A,12.1,6.05,1.149901451,12.77668279,12.55,6.275,1.237021742,13.74468603,11.6,5.8,1.056831769,11.74257521
D,21,A8532,Pterophylla sylvicola,A,A,A,9.25,4.625,0.672006304,7.466736706,9.2,4.6,0.664761005,7.386233394,9.1,4.55,0.650388219,7.226535768
D,21,A8669,Pterophylla sylvicola,A,A,A,7.1,3.55,0.395919214,4.39910238,6.5,3.25,0.331830724,3.687008045,6.7,3.35,0.352565236,3.917391506
